ticker,chunk,raw,chunk_norm,norm,percentile_rank,conviction,layer,industry,momentum,flow,real_fields,fundamentals_real_fields,fundamentals_quality,data_source,market_activity_source,market_activity_data_type,options_premium_is_real,dark_pool_data_is_real,global_ranking_status
ALTI,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALVO,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALX,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALXO,3,4.51,1.07,1.12,0.2,A,9,Biotechnology,-18.3,neutral,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMAT,1,5.41,6.67,6.67,84.5,C,2,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AMBA,3,5.41,6.78,6.67,84.5,C,2,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AMBR,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMC,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AMCI,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMD,1,5.41,6.67,6.67,84.5,C,2,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AME,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMGN,1,4.89,3.45,3.46,3.9,A,9,Drug Manufacturers - General,-5.7,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMIX,1,5.74,8.71,8.7,92.8,A,9,Medical Devices,-82.9,low_volume,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMKR,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AMLX,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AMN,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMOD,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMPG,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AMPGZ,2,5.0,4.11,4.14,6.2,C,9,,,neutral,2,2,partial,simulated,simulated,neutral_default,False,False,recomputed
AMPH,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AMPY,1,5.57,7.66,7.65,89.7,A,1,Oil & Gas E&P,-40.6,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMRC,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AMRX,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AMST,1,6.61,10.0,10.0,95.9,A,5,Software - Application,-70.5,low_volume,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMT,1,5.19,5.31,5.31,75.4,A,9,REIT - Specialty,-24.6,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMTM,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AMTX,1,5.85,9.39,9.38,94.8,A,9,Specialty Chemicals,-56.3,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AMWD,3,5.0,4.18,4.14,6.2,C,9,"Furnishings, Fixtures & Appliances",,neutral,3,3,partial,polygon,polygon,stock_market_proxy,False,False,recomputed
AMX,1,5.23,5.56,5.56,76.7,A,9,Telecom Services,-6.3,neutral,6,6,high,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AMZN,1,5.53,7.41,7.41,88.9,A,5,Internet Retail,-10.8,low_volume,8,8,high,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AN,2,5.38,6.39,6.48,83.9,B,9,Auto & Truck Dealerships,-13.8,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
ANDE,2,5.0,4.11,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ANDG,3,4.96,3.92,3.89,4.9,B,9,Personal Services,-1.2,neutral,7,7,high,simulated,simulated,neutral_default,False,False,recomputed
ANET,1,5.48,7.1,7.1,87.6,A,3,Computer Hardware,0.0,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ANIK,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ANIP,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ANY,1,6.4,10.0,10.0,95.9,A,8,Capital Markets,-80.1,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AOMD,1,4.8,2.9,2.91,2.4,A,9,,0.0,low_volume,5,5,substantial,polygon,polygon,stock_market_proxy,False,False,recomputed
AOMN,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AON,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AOS,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AOSL,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AOUT,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
APA,1,5.52,7.35,7.35,88.6,A,1,Oil & Gas E&P,-24.2,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
APAC,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
APC,1,5.47,7.04,7.04,87.2,A,1,Oil & Gas Refining & Marketing,-11.3,low_volume,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
APD,1,5.0,4.13,4.14,6.2,A,9,Specialty Chemicals,-4.7,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
APEI,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
APGE,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
APH,1,5.53,7.41,7.41,88.9,A,2,Electronic Components,-9.8,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
API,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
APLD,1,5.35,6.3,6.3,80.9,C,3,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
APLE,1,5.23,5.56,5.56,76.7,A,9,REIT - Hotel & Motel,-2.4,neutral,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
APLMW,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
APP,1,5.74,8.71,8.7,92.8,A,6,Advertising Agencies,-30.9,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
APPN,1,5.35,6.3,6.3,80.9,C,6,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
APTV,1,5.42,6.73,6.73,86.2,A,9,Auto Parts,-31.7,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AQMS,3,5.84,9.5,9.32,94.5,A,9,Waste Management,-91.1,low_volume,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AR,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ARAI,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARAY,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARCI,3,5.06,4.56,4.51,71.9,B,9,Shell Companies,0.0,neutral,5,5,substantial,simulated,simulated,neutral_default,False,False,recomputed
ARCIU,3,6.03,10.0,10.0,95.9,A,9,Shell Companies,-1.4,dark_pool_buying,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ARCIW,1,5.23,5.56,5.56,76.7,C,9,,,neutral,1,1,partial,polygon,polygon,stock_market_proxy,False,False,recomputed
ARCLU,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARCO,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARDC,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARDX,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARE,1,5.32,6.11,6.11,80.2,A,9,REIT - Office,-41.9,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AREN,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ARGX,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ARKO,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ARLO,1,5.62,7.97,7.96,90.9,A,9,Building Products & Equipment,-33.1,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ARM,1,5.78,8.95,8.95,93.7,A,2,Semiconductors,-26.4,low_volume,8,8,high,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AROW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARQQ,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ARQQW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ARR,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARTL,3,5.51,7.41,7.28,87.9,B,9,Biotechnology,-98.5,low_volume,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
ARTNA,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARTV,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ARW,1,5.0,4.13,4.14,6.2,A,9,Electronics & Computer Distribution,-12.1,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ASA,2,5.0,4.11,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ASBA,3,5.22,5.57,5.5,76.1,B,9,,-1.6,low_volume,5,5,substantial,simulated,simulated,neutral_default,False,False,recomputed
ASBP,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ASC,3,5.0,4.18,4.14,6.2,A,9,Marine Shipping,-14.7,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ASG,1,4.84,3.14,3.15,3.0,A,9,Asset Management,-1.3,low_volume,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ASGI,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ASIC,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
