ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
APA,1,5.0,4.09,C,9,,,neutral,0,polygon
APAC,3,5.0,4.12,C,9,,,neutral,0,finnhub
APC,1,5.0,4.09,C,9,,,neutral,0,polygon
APD,1,5.0,4.09,C,9,,,neutral,0,finnhub
APEI,1,5.0,4.09,C,9,,,neutral,0,finnhub
APGE,3,5.0,4.12,C,9,,,neutral,0,polygon
APH,1,5.39,6.46,A,2,Electronic Components,-4.7,neutral,7,polygon
API,1,5.63,7.92,A,5,Software - Application,-20.5,low_volume,8,polygon
APLD,1,5.35,6.22,C,3,,,neutral,0,polygon
APLE,1,4.82,3.0,A,9,REIT - Hotel & Motel,0.0,neutral,6,polygon
APLMW,1,5.0,4.09,C,9,,,neutral,0,polygon
APP,1,5.35,6.22,C,6,,,neutral,0,finnhub
APPN,1,5.35,6.22,C,6,,,neutral,0,finnhub
APTV,1,5.32,6.04,A,9,Auto Parts,-25.3,low_volume,8,polygon
AQMS,3,5.0,4.12,C,9,,,neutral,0,polygon
AR,1,5.0,4.09,C,9,,,neutral,0,polygon
ARAI,3,5.0,4.12,C,9,,,neutral,0,finnhub
ARAY,1,5.59,7.68,A,9,Medical Devices,-82.7,low_volume,8,polygon
ARCI,3,4.97,3.94,B,9,Shell Companies,-0.1,low_volume,6,simulated
ARCIU,3,5.0,4.12,C,9,,,neutral,0,polygon
ARCIW,1,5.23,5.49,C,9,,,neutral,1,polygon
ARCLU,1,5.0,4.09,C,9,,,neutral,0,polygon
ARCO,3,5.0,4.12,A,9,Restaurants,-7.6,neutral,7,polygon
ARDC,1,5.0,4.09,C,9,,,neutral,0,polygon
ARDX,1,5.68,8.23,A,9,Biotechnology,-29.2,neutral,7,polygon
ARE,1,5.0,4.09,C,9,,,neutral,0,finnhub
AREN,1,5.0,4.09,C,9,,,neutral,0,polygon
ARGX,1,5.0,4.09,C,9,,,neutral,0,polygon
ARKO,1,5.0,4.09,C,9,,,neutral,0,finnhub
ARLO,1,5.0,4.09,C,9,,,neutral,0,finnhub
ARM,1,5.41,6.59,C,2,,,neutral,0,finnhub
AROW,3,5.0,4.12,C,9,,,neutral,0,finnhub
ARQQW,3,7.04,10.0,B,9,,-81.8,dark_pool_buying,6,simulated
ARR,1,5.0,4.09,C,9,,,neutral,0,polygon
ARTL,3,5.0,4.12,C,9,,,neutral,0,simulated
ARTNA,1,5.42,6.65,A,1,Utilities - Regulated Water,-4.4,neutral,7,polygon
ARTV,1,5.0,4.09,C,9,,,neutral,0,polygon
ARW,1,5.0,4.09,C,9,,,neutral,0,polygon
ASA,2,5.0,4.08,C,9,,,neutral,0,simulated
ASBA,3,5.31,5.95,B,9,,-0.6,neutral,4,simulated
ASBP,3,5.51,7.13,B,9,Biotechnology,-73.6,low_volume,7,simulated
ASC,3,5.0,4.12,C,9,,,neutral,0,polygon
ASG,1,4.93,3.66,A,9,Asset Management,-0.4,neutral,6,polygon
ASGI,1,5.0,4.09,C,9,,,neutral,0,polygon
ASIC,3,4.91,3.59,A,9,Insurance - Property & Casualty,-11.5,low_volume,7,polygon
ASMB,1,5.0,4.09,C,9,,,neutral,0,finnhub
ASMIY,3,5.0,4.12,C,9,,,neutral,0,simulated
ASML,1,5.39,6.46,A,2,Semiconductor Equipment & Materials,-1.7,neutral,7,polygon
ASPC,1,5.0,4.09,C,9,,,neutral,0,polygon
ASPSW,1,5.0,4.09,C,9,,,neutral,0,polygon
ASR,2,5.0,4.08,C,9,,,neutral,0,simulated
ASST,1,5.0,4.09,C,9,,,neutral,0,finnhub
ASTC,1,5.0,4.09,C,9,,,neutral,0,polygon
ASTE,3,5.0,4.12,C,9,,,neutral,0,finnhub
ASTH,1,5.0,4.09,C,9,,,neutral,0,finnhub
ASTI,3,6.03,10.0,B,1,Solar,-25.9,neutral,6,simulated
ASTS,1,5.0,4.09,C,9,,,neutral,0,finnhub
ASX,3,5.62,7.77,B,2,Semiconductors,-8.0,neutral,7,simulated
ASYS,1,5.0,4.09,C,9,,,neutral,0,polygon
ATAT,2,5.0,4.08,C,9,,,neutral,0,simulated
ATEC,1,5.0,4.09,C,9,,,neutral,0,polygon
ATEX,1,5.34,6.16,A,9,Telecom Services,-4.0,elevated_volume,8,polygon
ATEYY,3,5.0,4.12,C,9,,,neutral,0,simulated
ATHE,1,5.23,5.49,A,9,Biotechnology,-32.1,elevated_volume,7,polygon
ATHS,3,5.0,4.12,C,9,,,neutral,0,finnhub
ATI,3,4.82,3.06,B,9,Metal Fabrication,-1.1,neutral,6,simulated
ATKR,3,5.0,4.12,C,9,,,neutral,0,simulated
ATLCL,3,5.0,4.12,C,9,,,neutral,0,simulated
ATLCZ,1,5.31,5.98,B,9,,-0.6,neutral,4,polygon
ATLN,3,5.0,4.12,C,9,,,neutral,0,simulated
ATO,1,5.0,4.09,C,9,,,neutral,0,polygon
ATOM,1,5.79,8.9,A,2,Semiconductor Equipment & Materials,-24.1,low_volume,8,polygon
ATR,1,5.19,5.25,A,9,Medical Instruments & Supplies,-25.3,neutral,7,polygon
ATRC,3,5.42,6.59,A,9,Medical Instruments & Supplies,-34.1,neutral,7,polygon
ATRO,3,5.0,4.12,C,9,,,neutral,0,finnhub
ATS,1,6.33,10.0,A,9,Specialty Industrial Machinery,-20.1,neutral,7,polygon
ATYR,1,5.0,4.09,C,9,,,neutral,0,finnhub
AUB,3,5.0,4.12,C,9,,,neutral,0,polygon
AUDC,3,5.0,4.12,C,9,,,neutral,0,polygon
AUGO,3,5.0,4.12,C,9,,,neutral,0,finnhub
AUPH,3,5.0,4.12,C,9,,,neutral,0,simulated
AUR,1,5.0,4.09,C,9,,,neutral,0,polygon
AVA,1,5.0,4.09,C,9,,,neutral,0,finnhub
AVAH,3,5.34,6.12,A,9,Medical Care Facilities,-27.1,neutral,7,finnhub
AVGO,1,5.79,8.9,A,2,Semiconductors,-20.4,neutral,7,polygon
AVIR,1,5.38,6.4,A,9,Biotechnology,-28.6,low_volume,6,polygon
AVNT,1,5.0,4.09,A,9,Specialty Chemicals,-12.0,neutral,6,polygon
AVNW,3,4.99,4.06,B,3,Communication Equipment,-23.1,low_volume,8,simulated
AVR,1,5.0,4.09,C,9,,,neutral,0,finnhub
AVT,1,5.0,4.09,C,9,,,neutral,0,polygon
AVTR,1,5.05,4.4,A,9,Medical Instruments & Supplies,-38.3,low_volume,7,polygon
AVTX,1,5.0,4.09,C,9,,,neutral,0,polygon
AVX,1,5.0,4.09,C,9,,,neutral,0,finnhub
AVY,1,5.0,4.09,C,9,,,neutral,0,polygon
AWF,3,4.99,4.06,A,9,Asset Management,-5.5,low_volume,6,polygon
AWI,1,5.0,4.09,C,9,,,neutral,0,polygon
AWK,1,5.35,6.22,C,1,,,neutral,0,polygon
AWP,1,5.08,4.58,A,9,Asset Management,-3.4,neutral,5,polygon
AWRE,1,5.65,8.05,A,5,Software - Application,-51.4,low_volume,8,polygon
AX,1,5.15,5.0,A,9,Banks - Regional,-10.9,neutral,6,polygon
AXINU,1,5.0,4.09,C,9,,,neutral,0,polygon
AXON,1,5.0,4.09,C,9,,,neutral,0,finnhub
AXP,1,5.3,5.92,A,3,Credit Services,-12.1,neutral,6,polygon
AXS,1,5.08,4.58,A,9,Insurance - Specialty,-4.6,neutral,6,polygon
